Make,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),engine_class,mileage,Age,km_year,qcut_km_year,mileage_class,is_retro,is_japan,is_german,is_cargo_passenger,is_off_road,is_mpv,is_open_top
39,2011,4,195000,1800.0,2,,7750.0,1,2,11,17727.0,2,2,0,1,0,0,0,0,0
31,2014,11,135000,1500.0,0,,8550.0,3,1,8,16875.0,1,1,0,0,0,1,0,0,0
31,2012,11,110000,1500.0,0,,6550.0,3,1,10,11000.0,0,1,0,0,0,1,0,0,0
28,2006,11,200000,1600.0,3,,4100.0,3,2,16,12500.0,1,2,0,0,1,1,0,0,0
23,2000,5,300000,2200.0,0,,3490.0,1,2,22,13636.0,1,2,0,0,1,1,0,1,0
41,2010,11,290000,1390.0,4,,5600.0,3,2,12,24167.0,2,2,0,0,1,1,0,0,0
41,2010,9,220000,2400.0,0,,17000.0,1,2,12,18333.0,2,2,0,0,1,1,0,0,0
23,1991,10,240000,2300.0,4,,2850.0,1,2,31,7742.0,0,2,0,0,1,0,0,0,0
2,2004,10,325000,300.0,0,,3400.0,2,2,18,18056.0,2,2,0,0,1,0,0,0,0
23,2010,10,210000,2200.0,0,,11400.0,1,2,12,17500.0,2,2,0,0,1,0,0,0,0
23,2006,2,300000,3200.0,0,,11800.0,1,2,16,18750.0,2,2,0,0,1,0,0,0,0
2,1998,10,285000,3500.0,4,,3990.0,0,2,24,11875.0,0,2,0,0,1,0,0,0,0
41,2007,11,238371,1400.0,4,,5000.0,3,2,15,15891.0,1,2,0,0,1,1,0,0,0
41,2010,4,150000,1200.0,4,,5500.0,3,1,12,12500.0,1,2,0,0,1,0,0,0,0
42,2012,3,180000,2400.0,0,,15900.0,1,2,10,18000.0,2,2,0,0,0,1,1,0,0
27,2011,3,251000,1500.0,0,,8300.0,3,2,11,22818.0,2,2,0,1,0,1,1,0,0
14,2005,11,383000,1500.0,0,,3200.0,3,2,17,22529.0,2,2,0,1,0,1,0,0,0
1,2009,4,248000,2000.0,0,,9299.0,1,2,13,19077.0,2,2,0,0,1,0,0,0,0
23,2004,11,315000,1800.0,3,,6900.0,1,2,18,17500.0,2,2,0,0,1,1,0,0,0
12,1992,10,68000,2445.0,4,,2222.0,1,0,30,2267.0,0,2,0,0,0,0,0,0,0
31,2011,11,171000,1500.0,0,,5700.0,3,2,11,15545.0,1,2,0,0,0,1,0,0,0
44,2013,4,113000,367.0,1,,27000.0,2,1,9,12556.0,1,1,0,0,0,0,0,0,0
23,2014,10,275500,2200.0,0,,18350.0,1,2,8,34438.0,2,2,0,0,1,0,0,0,0
21,2017,10,157000,1998.0,2,,17800.0,1,2,5,31400.0,2,2,0,0,0,0,0,0,0
20,2017,3,76000,1998.0,4,,27999.0,1,1,5,15200.0,1,1,0,1,0,1,1,0,0
9,2008,4,113486,1998.0,3,,4495.0,1,1,14,8106.0,0,2,0,0,0,0,0,0,0
1,1993,10,235000,2000.0,4,,2950.0,1,2,29,8103.0,0,2,0,0,1,0,0,0,0
30,2012,3,253444,3000.0,0,,30222.0,1,2,10,25344.0,2,2,0,0,1,1,1,0,0
20,2009,9,250000,3500.0,2,,17990.0,0,2,13,19231.0,2,2,0,1,0,1,0,0,0
41,2012,10,179000,1400.0,3,,9800.0,3,2,10,17900.0,2,2,0,0,1,0,0,0,0
2,2015,3,169777,2000.0,0,,16888.0,1,2,7,24254.0,2,2,0,0,1,1,1,0,0
23,2017,3,71333,2500.0,0,,43404.0,1,0,5,14267.0,1,0,0,0,1,1,1,0,0
28,1994,10,340000,1800.0,4,,1500.0,1,2,28,12143.0,1,2,0,0,1,0,0,0,0
2,2007,10,300000,3000.0,0,,11500.0,1,2,15,20000.0,2,2,0,0,1,0,0,0,0
41,2004,6,280000,200.0,0,,5300.0,2,2,18,15556.0,1,2,0,0,1,1,0,1,0
41,2010,11,228000,1400.0,3,,5700.0,3,2,12,19000.0,2,2,0,0,1,1,0,0,0
39,2010,10,185000,1400.0,0,,6500.0,3,2,12,15417.0,1,2,0,1,0,0,0,0,0
27,2009,4,200415,1500.0,0,,6200.0,3,2,13,15417.0,1,2,0,1,0,0,0,0,0
2,2016,6,136000,2000.0,0,,13200.0,1,1,6,22667.0,2,1,0,0,1,1,0,1,0
2,2003,10,250000,3000.0,4,,7490.0,1,2,19,13158.0,1,2,0,0,1,0,0,0,0
6,2014,10,195000,1200.0,3,,3999.0,3,2,8,24375.0,2,2,0,0,0,0,0,0,0
6,2015,9,170000,1500.0,0,,8800.0,3,2,7,24286.0,2,2,0,0,0,1,0,0,0
41,2010,11,191500,1400.0,4,,5700.0,3,2,12,15958.0,1,2,0,0,1,1,0,0,0
41,1991,10,292000,1800.0,4,,1150.0,1,2,31,9419.0,0,2,0,0,1,0,0,0,0
2,2004,10,250000,2000.0,0,,4499.0,1,2,18,13889.0,1,2,0,0,1,0,0,0,0
27,2015,3,158000,1500.0,0,,11750.0,3,2,7,22571.0,2,2,0,1,0,1,1,0,0
29,2018,3,132000,1500.0,0,,16500.0,3,1,4,33000.0,2,1,0,0,0,1,1,0,0
2,2005,9,260500,3000.0,4,,8999.0,1,2,17,15324.0,1,2,0,0,1,1,0,0,0
31,2005,11,11111,1500.0,0,,3200.0,3,0,17,654.0,0,2,0,0,0,1,0,0,0
27,2013,9,180000,1500.0,0,,8999.0,3,2,9,20000.0,2,2,0,1,0,1,0,0,0
11,2012,6,151658,1800.0,0,,3899.0,1,2,10,15166.0,1,2,0,0,0,1,0,1,0
31,2015,5,185480,1461.0,0,,7550.0,3,2,7,26497.0,2,2,0,0,0,1,0,1,0
2,2009,10,215210,3000.0,0,,16500.0,1,2,13,16555.0,1,2,0,0,1,0,0,0,0
41,2007,4,305988,1400.0,0,,3250.0,3,2,15,20399.0,2,2,0,0,1,0,0,0,0
2,2014,10,231250,2000.0,0,,18000.0,1,2,8,28906.0,2,2,0,0,1,0,0,0,0
40,2004,6,12000,1700.0,4,,1800.0,3,0,18,667.0,0,2,0,0,0,1,0,1,0
2,1998,10,11111,2500.0,4,,3200.0,1,0,24,463.0,0,2,0,0,1,0,0,0,0
27,2014,4,87100,1200.0,4,,7950.0,3,1,8,10888.0,0,1,0,1,0,0,0,0,0
39,2000,10,420000,1600.0,3,,2999.0,3,2,22,19091.0,2,2,0,1,0,0,0,0,0
13,2002,11,275100,2000.0,4,,5900.0,1,2,20,13755.0,1,2,0,1,0,1,0,0,0
2,2015,10,180236,2000.0,0,,21500.0,1,2,7,25748.0,2,2,0,0,1,0,0,0,0
13,2010,3,183000,2200.0,0,,12999.0,1,2,12,15250.0,1,2,0,1,0,1,1,0,0
